[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log)
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: p5MtUcv7qdK40LXsV4YjqMJ3TwhfZOPAsT0L4hgqzzo=
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: waTXwUKpfoQq3WE3BnncbXkGVpExh8NcrQOlA0UuAHU=
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: hdLOX1qSqVWJZojA+DRoNX3VOvOEh9x8BrRhRFh/P30=
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: s6CuLy8P3OxVHUHlxs8EtXFai3RQVQJ5NtX4oJ7fK9A=
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: otMOdZ3araDgzxqHCEksVLw5u18PevlMCjEqMjhh95E=
[06.10.2022 20:54:39] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:39] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log)
[06.10.2022 20:54:39] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: b3f3Fixv77wLqOsnjJT+41zoTlAqcygxH9ynODn9cq0=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\AppData\Roaming\discord\module_data\discord_hook\hook.log) SHA256SUM: nfcojwV+o0in+Mq3XbyjCN9HQSCMNPMoNfu2lxy9sbQ=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log)
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: F0AMuG4XQ9O3HO8v5jUX7j+RsDUkNY7W2WOuZXb6+MU=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: yrJndThk4kUZU3EkIE+AVTmW+RUNG7jVnJA1zpeWcJI=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: JE4EScqmVIvaAb8yr02zAcirl7Uq+BMwz+H43iyKvk0=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: Bzdn6FSgp33yxiYb6nzw+/wfrBgF32SEM05FD9LQy4Q=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: fbgdKlQBYORPFEsFcwQ/wDdN+BnL5j/EPkE5/tPDf8U=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: wRxemAhjuRhaEPD6nlL1Ku7xMxIFnkRYxia0W3EBZ+g=
